,timestamp,open,close,high,low,tx amt,tx vol
23,01/01/2022,3676.93,3722.9,3729.3,3676.93,2394.39243007,8873541.5620740373
22,01/01/2022,3722.91,3725.1,3747.79,3713.93,1921.72391431,7170292.2478906286
21,01/01/2022,3725.1,3728.48,3737.45,3722.55,1136.52726231,4238660.2004297756
20,01/01/2022,3728.48,3723.73,3736.13,3723.17,1079.50403926,4025168.2143804424
19,01/01/2022,3723.73,3708.64,3727.99,3707.02,1779.47572599,6613308.5057173673
18,01/01/2022,3708.64,3735.22,3764.52,3703.97,2760.86321148,10325283.4706946023
17,01/01/2022,3735.24,3712,3742.83,3708.03,1750.86311551,6524356.9773431255
16,01/01/2022,3712,3716.08,3724.29,3694.2,2042.60432955,7579547.5631822146
15,01/01/2022,3715.3,3721.55,3732.77,3708.4,1306.90064832,4861171.2150802083
14,01/01/2022,3721.56,3719.02,3729.78,3709.1,1114.65505948,4147355.8641606466
13,01/01/2022,3719.01,3690.82,3731.66,3671.74,2163.30197722,8001886.5965932397
12,01/01/2022,3690.46,3694.02,3711.6,3690.46,1047.80586842,3879812.4059368496
11,01/01/2022,3693.7,3716.26,3718.84,3693.7,1013.04582254,3755887.0763709192
10,01/01/2022,3716.26,3710.24,3724.8,3707.01,1389.22817264,5163907.4553820868
9,01/01/2022,3710.16,3697.85,3713.96,3693.24,1337.24154223,4954695.0038847278
8,01/01/2022,3697.85,3725.25,3745,3693.5,3552.52906465,13239987.6837551492
7,01/01/2022,3725.24,3728.72,3747.38,3717.93,3221.67773333,12029897.9735585057
6,01/01/2022,3728.73,3760.83,3765.02,3728.07,3922.26373198,14700548.7745535786
5,01/01/2022,3760.83,3753.25,3765.79,3740.12,2708.07197303,10156062.6722627071
4,01/01/2022,3753.26,3748.16,3758.17,3735.96,1763.52409048,6607253.6569993286
3,01/01/2022,3748.16,3761.47,3777.2,3740.35,2020.23010718,7599734.6297902697
2,01/01/2022,3761.77,3748.85,3776.7,3746.3,1558.64699385,5865213.9007405757
1,01/01/2022,3748.85,3757.93,3763.96,3739.21,1311.56909088,4919413.5502250724
0,01/01/2022,3757.94,3765.82,3774.58,3745.1,1937.42112788,7279938.5443302139
23,01/02/2022,3765.82,3762.24,3770.99,3751.45,2119.86624671,7977742.452098523
22,01/02/2022,3762.27,3746.18,3763.78,3742.8,1757.6285478,6592171.9780393857
21,01/02/2022,3746.19,3747.22,3753.58,3742.14,1212.96126111,4546495.6978101164
20,01/02/2022,3747.22,3759.01,3760.09,3743.13,1219.85297304,4576933.6896350714
19,01/02/2022,3759.02,3724.44,3761.94,3714.88,3105.01431299,11604036.3760999645
18,01/02/2022,3724.45,3744.65,3744.99,3720.06,2101.29361428,7843472.1931264964
17,01/02/2022,3744.65,3738.64,3749.89,3737.87,1451.03270025,5432543.2885297943
16,01/02/2022,3738.64,3748.09,3751.8,3734.68,1195.59215633,4474814.1223673464
15,01/02/2022,3748.1,3743.19,3748.34,3732.18,1163.75967576,4352688.1019882672
14,01/02/2022,3743.19,3753.94,3769.4,3738.03,1766.77899878,6634357.2399168463
13,01/02/2022,3753.94,3743.55,3759.03,3740.59,958.75677344,3595739.330496349
12,01/02/2022,3743.54,3743.67,3756.88,3741.8,923.71235561,3462654.0008351629
11,01/02/2022,3743.67,3754.23,3758.69,3731,1953.26690845,7314407.0654575371
10,01/02/2022,3754.06,3744.96,3757.21,3740.6,1118.03911344,4190885.8376136928
9,01/02/2022,3744.96,3752.41,3756.33,3743.15,1660.82674904,6229484.2093634772
8,01/02/2022,3752.41,3778.99,3788.56,3752.4,2909.61714049,10970576.5199234995
7,01/02/2022,3778.98,3839.2,3850.92,3778.76,4756.31860606,18111803.3131783786
6,01/02/2022,3839.21,3824.44,3857.69,3811.51,3889.85075513,14896176.5493769011
5,01/02/2022,3824.44,3795.73,3824.96,3771.43,3526.85400104,13389483.9805362518
4,01/02/2022,3795.73,3799.27,3806.6,3784.92,1564.22665546,5937313.1322765413
3,01/02/2022,3799.08,3810.06,3813.27,3794.56,1247.37629637,4746157.2841762133
2,01/02/2022,3810.07,3812.15,3829.2,3802.19,1405.939247,5361408.4860449116
1,01/02/2022,3812.15,3828.18,3833.77,3810.99,1094.2015096,4182767.882609673
0,01/02/2022,3828.19,3828.88,3839.89,3821,2062.32718048,7899596.0696003385
23,01/03/2022,3828.63,3807.28,3828.63,3806,1671.56462581,6377099.5052269499
22,01/03/2022,3807.29,3805.17,3810,3794.43,2219.3034029,8437290.3585945047
21,01/03/2022,3805.18,3797.41,3805.18,3785.6,1979.07065801,7509648.5577259316
20,01/03/2022,3797.41,3785.37,3804.89,3775.67,1905.25708911,7221459.9463549391
19,01/03/2022,3785.36,3791.65,3799.1,3780.56,1758.49074772,6668609.7222999761
18,01/03/2022,3791.64,3812.71,3822.82,3790.79,2262.07758619,8615518.110120659
17,01/03/2022,3812.71,3803.82,3818.12,3800.45,2010.85337887,7659679.5979300942
16,01/03/2022,3803.82,3809.28,3810.23,3798.78,1288.0319659,4900150.9089928672
15,01/03/2022,3809.28,3807.72,3821.84,3805.61,1651.73687325,6297964.2791555097
14,01/03/2022,3807.72,3808.88,3818,3792.15,2692.19445575,10239927.1993999378
13,01/03/2022,3808.88,3824,3830.19,3808.87,1978.58806905,7558205.453004175
12,01/03/2022,3824.12,3834.58,3844.45,3824.12,2124.66584474,8150023.1814999849
11,01/03/2022,3834.58,3819.66,3837.92,3817.12,2062.05942659,7896783.3961678851
10,01/03/2022,3819.65,3819.06,3830.67,3818.94,1619.31698198,6192521.8892471238
9,01/03/2022,3819.09,3803.7,3851.58,3803.36,3532.67502594,13499931.875694268
8,01/03/2022,3803.76,3783.69,3813.3,3776.98,3200.12672596,12155176.6678214328
7,01/03/2022,3783.68,3748.67,3794.48,3735.51,5123.94225324,19248673.0752522592
6,01/03/2022,3748.67,3761.36,3775.73,3743.59,2160.81838729,8128032.7380067314
5,01/03/2022,3761.36,3751.96,3771.62,3745.41,2083.5279997,7825993.2479149158
4,01/03/2022,3751.96,3739.18,3763.25,3739.17,1951.19585988,7327574.4192808394
3,01/03/2022,3739.18,3700.26,3742.12,3682.51,6268.68337727,23246828.9507988489
2,01/03/2022,3699.26,3723.13,3733.37,3694.26,2145.65306416,7970536.3630794527
1,01/03/2022,3723.14,3752.06,3774.92,3722.11,2413.57546332,9057790.7261299757
0,01/03/2022,3752.06,3765.14,3777.19,3745.82,2268.46722991,8535490.101216367
23,01/04/2022,3765.13,3742.9,3773.65,3736.91,2261.22991065,8497103.9826855178
22,01/04/2022,3742.9,3732.32,3758.15,3728.78,1991.87951597,7451624.3825993137
21,01/04/2022,3732.46,3726.82,3740.13,3713.89,2384.44169584,8889066.9963663687
20,01/04/2022,3726.11,3744.62,3749.6,3719.7,2050.39409221,7663559.3289812459
19,01/04/2022,3744.16,3730.11,3753.12,3729.16,2622.02903665,9807023.690331658
18,01/04/2022,3730.22,3741.86,3749.02,3726.94,2334.16738911,8723745.5187817106
17,01/04/2022,3742.22,3753.85,3755.5,3734,1782.24992071,6680052.3542001089
16,01/04/2022,3753.79,3763.67,3763.67,3746.6,1823.00904473,6847359.9661758701
15,01/04/2022,3763.68,3770.23,3781.4,3758.02,2381.56788294,8981551.3666944381
14,01/04/2022,3770.24,3766.63,3778.36,3763.16,1853.09684824,6989304.923431143
13,01/04/2022,3766.63,3806.7,3815.82,3764.59,3625.75310767,13745538.9782117862
12,01/04/2022,3806.7,3836.95,3840,3806.7,4238.34199678,16217150.598639828
11,01/04/2022,3836.85,3831.99,3840.93,3818.32,2632.82460287,10074084.3352597764
10,01/04/2022,3831.99,3865.96,3875,3816.31,4462.05869808,17154558.1436101505
9,01/04/2022,3866.54,3875.67,3894.35,3854.62,4982.24543508,19292103.7003254656
8,01/04/2022,3875.58,3849,3885.49,3842.73,5204.89646282,20123667.7535692662
7,01/04/2022,3849,3851.68,3859.5,3829.2,5041.20876938,19402869.6229155122
6,01/04/2022,3851.67,3838.61,3863.5,3837.89,2649.62977201,10211393.0063295262
5,01/04/2022,3838.61,3771.46,3855.1,3763.52,6707.82958027,25535409.5752918612
4,01/04/2022,3771.46,3811.21,3841.63,3758.25,6151.77352075,23424604.5961076738
3,01/04/2022,3811.22,3816.39,3829.99,3798.41,2347.25888603,8960629.7414680034
2,01/04/2022,3816.39,3826.61,3833.09,3808.48,2292.11439544,8757574.9948130662
1,01/04/2022,3826.74,3816.48,3826.74,3805.96,1092.75055121,4171459.784268793
0,01/04/2022,3816.48,3785.14,3816.8,3784.51,3081.37482686,11713203.8358540667
23,01/05/2022,3785.14,3810.37,3812.4,3767.34,3100.15005058,11769222.7712514398
22,01/05/2022,3810.37,3793.13,3811.03,3792.41,1574.45647785,5986529.9119718
21,01/05/2022,3793.13,3802.9,3808.12,3793.13,1926.01362414,7322134.2601095842
20,01/05/2022,3802.84,3809.91,3827.01,3802.84,1774.80924128,6770374.756847876
19,01/05/2022,3809.91,3810.65,3816.35,3803.07,1862.33287175,7095371.3979284474
18,01/05/2022,3810.66,3803.5,3810.92,3797.45,2332.48372027,8871177.2678053408
17,01/05/2022,3803.5,3819.94,3821.41,3800.1,1616.90437834,6166187.859971893
16,01/05/2022,3819.94,3816.21,3823.33,3811.25,2025.77464294,7731504.9290919305
15,01/05/2022,3816.2,3821.51,3826.2,3802.81,2716.18603549,10358694.6184813223
14,01/05/2022,3821.51,3836.7,3840.01,3816.75,3092.52985353,11837573.2380594006
13,01/05/2022,3836.7,3826.87,3847.22,3822.3,2761.47987661,10587389.4193094401
12,01/05/2022,3826.88,3792.08,3828.59,3781.58,4394.97601844,16699680.159087883
11,01/05/2022,3792.09,3789.91,3796.56,3761.25,4400.35590156,16629998.5858561052
10,01/05/2022,3789.91,3814.68,3816.69,3780.69,2685.14456041,10205408.1171908775
9,01/05/2022,3814.68,3821.83,3833.85,3789.15,3551.87634198,13535939.5261661412
8,01/05/2022,3821.09,3821.08,3828.97,3805.6,2557.31511579,9762685.7181664558
7,01/05/2022,3821.09,3792.51,3823.86,3791.14,2752.15088684,10474484.0751976089
6,01/05/2022,3792.5,3771.66,3804.05,3771.2,3338.79808734,12655979.7515137849
5,01/05/2022,3771.65,3747.92,3772,3726.17,9709.71721184,36368779.8125004642
4,01/05/2022,3747.93,3653.67,3760.08,3644.8,13759.54371911,50865415.8746400725
3,01/05/2022,3653.68,3592.78,3669.7,3583.48,13039.29560026,47258566.6363259146
2,01/05/2022,3592.77,3553.8,3634.01,3549.21,7883.48366164,28258469.8698701056
1,01/05/2022,3553.76,3533.81,3569.56,3401.36,15481.93059855,54185764.4599712446
0,01/05/2022,3533.79,3539.99,3564.12,3501.08,7179.3354286,25408239.6705585456
23,01/06/2022,3539.99,3538.56,3550.82,3516.7,5219.64821687,18444051.6929641086
22,01/06/2022,3538.56,3525.01,3539.68,3502.08,4390.30543164,15469771.8883206068
21,01/06/2022,3525.01,3508.6,3531.31,3492.82,4429.66657991,15562493.1431660461
20,01/06/2022,3508.6,3447.36,3510.92,3445.82,5545.27502034,19303309.0436622276
19,01/06/2022,3447.45,3450.82,3471.06,3406.53,6979.06041509,24008896.3566827399
18,01/06/2022,3450.82,3457.9,3480.27,3438.2,3940.01222075,13643831.1191555038
17,01/06/2022,3457.9,3439.78,3467.35,3422.01,5046.46778788,17393140.6290461111
16,01/06/2022,3439.78,3453.52,3463.59,3428.13,2641.37393385,9115671.6574963969
15,01/06/2022,3453.53,3406.29,3455.84,3384.87,4837.04227773,16524918.6825317516
14,01/06/2022,3406.28,3308.69,3409.28,3296.13,8193.33548058,27427072.967445318
13,01/06/2022,3308.69,3355.94,3365.66,3308.25,4129.74320794,13788659.2796986543
12,01/06/2022,3355.94,3349.54,3368.04,3330.3,2576.42232387,8634781.1592157818
11,01/06/2022,3349.53,3361.24,3361.8,3318.21,4078.39038977,13628525.7141578999
10,01/06/2022,3361.82,3405.37,3409,3361.68,4392.51454868,14863801.6748436075
9,01/06/2022,3405.26,3393.6,3428.04,3383.81,5094.21405105,17342275.1844612276
8,01/06/2022,3393.68,3396.7,3406.04,3345.7,4841.86136125,16370834.4492758615
7,01/06/2022,3396.7,3401.3,3420,3382.87,2992.03076574,10165131.0920310591
6,01/06/2022,3401.31,3422.17,3434,3396.36,4893.05380898,16729149.6081760581
5,01/06/2022,3422.49,3456.45,3458.04,3416.87,3448.55657729,11852038.8272597251
4,01/06/2022,3457,3447.38,3461.39,3435.32,4306.5696029,14843794.7651286478
3,01/06/2022,3447.39,3425.95,3458.49,3420.09,4461.31507158,15335758.9219796242
2,01/06/2022,3425.95,3428.24,3433.29,3415.05,2634.91535321,9028856.3591349928
1,01/06/2022,3428.25,3429.53,3438.08,3416.28,2028.08664983,6952896.8692289669
0,01/06/2022,3429.53,3406.6,3432.1,3405.96,1942.62766368,6639155.1659144791
23,01/07/2022,3406.6,3365.66,3416.2,3361.59,5221.33455431,17691719.6103647991
22,01/07/2022,3365.66,3390.46,3392.89,3365.66,3166.84817127,10705251.6425927324
21,01/07/2022,3390.48,3360.46,3391.49,3357.04,2383.43986045,8043448.4728164357
20,01/07/2022,3360.46,3238.17,3363.92,3225.69,10209.20720912,33500961.1009883809
19,01/07/2022,3238.77,3217.65,3251.06,3139.15,14425.84436903,46095101.397443125
18,01/07/2022,3217.65,3235.95,3248.25,3211.25,5299.76079715,17127728.0812445635
