,timestamp,open,close,high,low,tx amt,tx vol
47,01/01/2023,1196.21,1196.58,1196.76,1194.31,234.8690409,280792.329792154
46,01/01/2023,1196.59,1194.1,1196.59,1192.91,414.8055692,495248.978564284
45,01/01/2023,1194.05,1195.49,1195.72,1193.95,142.1999592,169905.927539082
44,01/01/2023,1195.49,1196.01,1196.46,1194.85,166.9616917,199574.109474817
43,01/01/2023,1196,1196.13,1196.13,1194.14,405.7147403,484830.305822517
42,01/01/2023,1196.13,1195.45,1196.75,1195.33,82.1208923,98223.058660196
41,01/01/2023,1195.46,1193.26,1195.46,1191.54,651.29588048,777079.3902973638
40,01/01/2023,1193.26,1194.07,1194.43,1193.2,188.5164053,225046.171490018
39,01/01/2023,1194.07,1192.26,1194.07,1191.2,372.3331148,444076.442929996
38,01/01/2023,1192.13,1192.97,1193,1191.96,139.5631626,166425.636832859
37,01/01/2023,1192.97,1194.19,1194.33,1192.92,67.8267954,80957.081865018
36,01/01/2023,1194.2,1194.64,1194.8,1193.62,119.538922,142735.810853532
35,01/01/2023,1194.65,1194.76,1195.36,1194.1,247.2972336,295495.96989026
34,01/01/2023,1194.9,1194.89,1195.02,1194.06,113.3303022,135389.631784046
33,01/01/2023,1194.89,1194.42,1195.2,1193.06,238.5491389,284885.822552287
32,01/01/2023,1194.43,1195.31,1195.58,1193.63,93.3113418,111487.786244715
31,01/01/2023,1195.05,1195.22,1195.74,1194.34,226.0213706,270156.12992478
30,01/01/2023,1195.23,1194.25,1195.46,1194.02,83.5671154,99837.552748628
29,01/01/2023,1194.25,1194.84,1195.64,1193.81,165.7647335,197994.337163402
28,01/01/2023,1194.84,1196.39,1196.48,1194.83,107.9670587,129076.012982365
27,01/01/2023,1196.39,1196.19,1196.4,1195.72,49.3400533,59016.575220187
26,01/01/2023,1196.19,1196.97,1197,1195.39,87.2846146,104391.515845729
25,01/01/2023,1196.97,1196.05,1197.46,1195.96,190.7108333,228199.130721239
24,01/01/2023,1196.05,1196.21,1196.42,1195.73,83.8350494,100272.876881576
23,01/01/2023,1196.22,1197.8,1198.2,1195.73,247.5616163,296385.782447282
22,01/01/2023,1197.8,1197.1,1198.14,1196.89,173.7606729,208024.0835239
21,01/01/2023,1197.1,1195.91,1197.24,1195.45,128.8288424,154142.002051694
20,01/01/2023,1195.92,1195,1195.92,1193.37,165.1639302,197298.218248254
19,01/01/2023,1194.99,1195.52,1195.69,1194.59,93.6737199,111964.708346987
18,01/01/2023,1195.53,1194.45,1195.53,1194.3,75.7470219,90509.4958555
