,timestamp,open,close,high,low,tx amt,tx vol
5,08/01/2022,1678.11,1691.33,1704.89,1673.9,12591.11684327,21273082.4287976651
4,08/01/2022,1691.33,1692.86,1697.14,1666.63,13805.05399544,23233485.3567943502
3,08/01/2022,1692.9,1668.09,1695.19,1641.3,15246.72798291,25430548.1819915307
2,08/01/2022,1668.09,1672.57,1689.62,1633.44,24257.59900908,40397839.4086531333
1,08/01/2022,1672.62,1622.2,1673.68,1616.24,22639.22255472,37042247.4996937113
0,08/01/2022,1622.25,1629.62,1643.34,1606.06,17371.33192926,28238806.7166100478
5,08/02/2022,1629.62,1577.03,1656.69,1567.96,28583.90879764,45859905.9805227968
4,08/02/2022,1577.06,1593.4,1596.39,1564.38,13743.91628925,21734452.5467626544
3,08/02/2022,1592.83,1587.63,1597.69,1558.98,17737.58726339,28037269.4191485205
2,08/02/2022,1587.57,1629.68,1637.5,1564.42,38969.27888853,62322808.194881932
1,08/02/2022,1629.68,1636.57,1678.2,1622.7,35200.38044979,58208573.7373364083
0,08/02/2022,1636.85,1630.35,1660.4,1627.41,14603.26722662,24026700.3981715553
5,08/03/2022,1630.8,1619.83,1638.79,1590,21762.16257893,35048927.1324074489
4,08/03/2022,1619.59,1628.71,1642.81,1613,11391.95087659,18547043.9430136504
3,08/03/2022,1628.94,1665.28,1672.09,1628.67,17146.95843608,28382749.2933384099
2,08/03/2022,1665.28,1656.15,1686.12,1645,25463.30148933,42314060.1317565023
1,08/03/2022,1655.72,1653.95,1671.54,1647.51,18870.86506669,31333182.1886672194
0,08/03/2022,1654.21,1618.42,1657.31,1607.48,20330.35413189,33101949.3341448276
5,08/04/2022,1618.43,1650.93,1659.09,1615.76,19673.68919381,32324526.9091320754
4,08/04/2022,1651.31,1625.44,1663.08,1616.21,13552.24446058,22167420.6450319042
3,08/04/2022,1625.85,1616.13,1630.94,1606.18,13456.858873,21794440.1693605041
2,08/04/2022,1615.73,1615.55,1643.58,1597,24022.03028479,38866052.7777492739
1,08/04/2022,1615.55,1590.8,1624,1580.53,20959.99607409,33466955.4060555566
0,08/04/2022,1590.49,1607.46,1612.39,1581.2,10306.87809564,16458644.3984091488
5,08/05/2022,1607.71,1659.28,1667.77,1605.36,21905.21093584,36020327.5120677816
4,08/05/2022,1659.68,1663.3,1678.66,1646.47,11917.35497709,19812669.5042923101
3,08/05/2022,1662.97,1713.41,1717.18,1652.12,19565.39964561,32939040.8361733812
2,08/05/2022,1713.42,1670.01,1725.46,1665.45,47951.72657767,81244335.9754836635
1,08/05/2022,1670.01,1681.36,1684.15,1656.62,18408.68836227,30746298.4898446128
0,08/05/2022,1681.14,1736.67,1742.47,1666.52,24927.66165539,42586316.4890533943
5,08/06/2022,1736.68,1734.67,1752.73,1726.02,19386.01704298,33686879.0937101494
4,08/06/2022,1734.67,1720.58,1738.04,1713.88,8822.69584712,15219383.6426342157
3,08/06/2022,1720.92,1712.35,1724.54,1703.2,9770.71735813,16749506.2703691587
2,08/06/2022,1712.35,1715.76,1720.98,1706.27,11689.84524079,20038235.370089909
1,08/06/2022,1715.77,1714.74,1721.13,1685.88,16559.71450427,28271334.6301256518
0,08/06/2022,1714.73,1690.86,1723.82,1687.6,14636.35599327,24930929.382403196
5,08/07/2022,1690.86,1684.19,1697.95,1668.56,17469.81360821,29348967.4519753038
4,08/07/2022,1684.19,1686.18,1688.8,1672.8,8438.29208682,14196332.9546724867
3,08/07/2022,1686.18,1692.54,1693.7,1673.25,8047.93472265,13548392.0805745891
2,08/07/2022,1692.55,1699.13,1715.38,1690.93,14324.40716778,24397891.0337299185
1,08/07/2022,1699.13,1708.08,1716,1695.41,8719.20601509,14901422.1440621897
0,08/07/2022,1708.3,1699.99,1729.83,1690.25,15666.32909821,26771908.3814029849
5,08/08/2022,1700,1709.75,1719.49,1693.76,12540.7351017,21419172.3100840389
4,08/08/2022,1709.75,1732.72,1740,1708.04,14599.27725035,25217192.5312368306
3,08/08/2022,1732.72,1789.45,1792.03,1728.04,30059.80013296,53136680.1025708547
2,08/08/2022,1789.2,1774.78,1818.13,1766.58,36555.36278247,65685942.5231615047
1,08/08/2022,1774.77,1782.93,1787.09,1756.02,20330.84117361,35994987.8263739654
0,08/08/2022,1782.93,1777.33,1799,1757.57,17814.61020134,31669256.5752253357
5,08/09/2022,1777.17,1778.21,1786.78,1761.1,11356.31400061,20128843.1763386362
4,08/09/2022,1778.2,1781.93,1790.78,1767,11429.06260883,20306906.2406942389
3,08/09/2022,1781.94,1704.13,1783.01,1692.41,30347.96451516,52640072.5973876293
2,08/09/2022,1703.91,1684.65,1717.46,1668.58,34298.15081608,58116947.2950944947
1,08/09/2022,1684.66,1688.12,1698.1,1674.53,18667.54174706,31508709.4903547525
0,08/09/2022,1687.61,1702.87,1715.72,1687.18,12423.41059341,21151866.0061214422
5,08/10/2022,1702.87,1669.43,1702.87,1656.28,22023.82057464,36948766.4534303525
4,08/10/2022,1669.44,1686.3,1691.39,1667.2,14954.87537153,25140514.8387881398
3,08/10/2022,1686.31,1707.02,1713.6,1684.5,14290.84507773,24280522.8603397898
2,08/10/2022,1707.02,1837.27,1854.35,1703.48,87215.21204239,157589242.0053761202
1,08/10/2022,1837.24,1817.95,1849.49,1802.64,27694.29987834,50550100.0530258993
0,08/10/2022,1818.35,1853.18,1885.54,1817.66,28199.15657304,52154312.8876032954
5,08/11/2022,1853.18,1880.29,1918.55,1850.06,52673.57967876,99154279.6701978477
4,08/11/2022,1880.3,1878.69,1905.35,1870.85,26374.97630523,49854983.9935211877
3,08/11/2022,1878.69,1903.43,1913.7,1873.4,19294.12140448,36449469.1258002641
2,08/11/2022,1903.43,1890.01,1941.58,1883.56,51228.06419016,97944354.7994617139
1,08/11/2022,1890.44,1898.6,1908,1873.28,26111.49587885,49376353.2858357252
0,08/11/2022,1898.61,1880.52,1905.42,1867.3,18670.23879087,35243518.3737541728
5,08/12/2022,1880.51,1903.87,1913.6,1857.41,22599.76951732,42594615.8238431373
4,08/12/2022,1904.04,1888.54,1909.19,1882.76,11866.9357749,22472719.4232173677
3,08/12/2022,1888.54,1868.49,1903.89,1853.36,21219.61847937,39917850.8083053855
2,08/12/2022,1868.49,1897.41,1903.65,1866.88,22846.23328701,43031584.0935635369
1,08/12/2022,1897.4,1926.14,1931,1890.66,17009.98252142,32493810.4357531466
0,08/12/2022,1926.13,1958.3,1964.15,1916.72,24790.9612668,48073185.563869313
5,08/13/2022,1958.08,1996.79,1999,1946.12,26814.79595525,52745487.9146240862
4,08/13/2022,1996.79,1996,2019.5,1986.21,24581.75348576,49176519.2590338653
3,08/13/2022,1996.01,1986.09,2008.18,1972.66,14243.44679465,28391412.2989023679
2,08/13/2022,1986.09,1988.33,1994.9,1963.71,11744.92967797,23271682.0964394758
1,08/13/2022,1988.33,1975.42,2004.14,1972,15043.40021137,29913593.066806635
0,08/13/2022,1975.42,1983.76,1994.67,1967.6,11308.11612928,22432211.7117131637
5,08/14/2022,1983.77,1985.93,1994.44,1971.21,8778.65108822,17433640.6592916281
4,08/14/2022,1985.94,2016.82,2031.3,1980.93,16915.57103006,33899645.6028626846
3,08/14/2022,2016.82,1990.23,2017.88,1980.44,14827.98935535,29690293.8074440111
2,08/14/2022,1990.24,1984.06,1991.33,1970.61,12570.70927621,24900968.9756092793
1,08/14/2022,1984.06,1931.56,1984.69,1906.11,24821.80161777,48149304.5994073147
0,08/14/2022,1931.57,1935.32,1960,1916.5,16942.55614636,32838725.7340154345
5,08/15/2022,1935.32,1986.16,2012,1922.09,35523.07411529,70089292.6174803812
4,08/15/2022,1986.15,1900.08,1992.59,1885.33,35433.79400336,68456465.2895228747
3,08/15/2022,1900.08,1890.78,1912.42,1875.31,23506.86547562,44624737.0532308723
2,08/15/2022,1890.78,1917.86,1921.88,1872.98,22428.79639475,42603475.0329910163
1,08/15/2022,1917.8,1889.42,1933.23,1885.02,19760.12976234,37667149.83279629
0,08/15/2022,1890.08,1899.2,1917.92,1876,13754.6322971,26112093.0178909587
5,08/16/2022,1899.19,1887.44,1914.7,1861.31,15090.07657118,28522292.787670406
4,08/16/2022,1887.61,1877.03,1893.02,1856.81,9150.39929432,17134102.7442880296
3,08/16/2022,1877.04,1906.56,1915,1877.04,8209.33016522,15570133.359665048
2,08/16/2022,1906.57,1887.42,1914,1864.62,17002.18891788,32040685.6136618185
1,08/16/2022,1887.43,1879,1897.7,1851.85,15426.11641724,28934977.2996360879
0,08/16/2022,1879,1876.78,1886.29,1865.6,5268.26500622,9891852.0846562853
5,08/17/2022,1876.35,1896.13,1904.39,1874.6,10346.60552249,19591601.2599740609
4,08/17/2022,1896.13,1890.35,1957.53,1888.12,22022.26570269,42310651.6753549691
3,08/17/2022,1890.34,1876.93,1902.4,1864.5,14579.63267137,27450891.9017134689
