,timestamp,open,close,high,low,tx amt,tx vol
23,01/01/2023,1196.21,1194.1,1196.76,1192.91,649.6746101,776041.308356438
22,01/01/2023,1194.05,1196.01,1196.46,1193.95,309.1616509,369480.037013899
21,01/01/2023,1196,1195.45,1196.75,1194.14,487.8356326,583053.364482713
20,01/01/2023,1195.46,1194.07,1195.46,1191.54,839.81228578,1002125.5617873818
19,01/01/2023,1194.07,1192.97,1194.07,1191.2,511.8962774,610502.079762855
18,01/01/2023,1192.97,1194.64,1194.8,1192.92,187.3657174,223692.89271855
17,01/01/2023,1194.65,1194.89,1195.36,1194.06,360.6275358,430885.601674306
16,01/01/2023,1194.89,1195.31,1195.58,1193.06,331.8604807,396373.608797002
15,01/01/2023,1195.05,1194.25,1195.74,1194.02,309.588486,369993.682673408
14,01/01/2023,1194.25,1196.39,1196.48,1193.81,273.7317922,327070.350145767
13,01/01/2023,1196.39,1196.97,1197,1195.39,136.6246679,163408.091065916
12,01/01/2023,1196.97,1196.21,1197.46,1195.73,274.5458827,328472.007602815
11,01/01/2023,1196.22,1197.1,1198.2,1195.73,421.3222892,504409.865971182
10,01/01/2023,1197.1,1195,1197.24,1193.37,293.9927726,351440.220299948
9,01/01/2023,1194.99,1194.45,1195.69,1194.3,169.4207418,202474.204202487
8,01/01/2023,1194.46,1196.67,1196.67,1194.12,189.4021021,226384.189504488
7,01/01/2023,1196.67,1197.12,1198,1195.67,864.1261872,1034194.948975655
6,01/01/2023,1197.12,1200.45,1203.17,1197.12,922.652612,1107472.017268892
5,01/01/2023,1200.45,1200.96,1202.78,1200.45,681.0204758,818277.517216666
4,01/01/2023,1200.96,1201.71,1204.45,1200.95,588.1284628,707338.018396038
3,01/01/2023,1201.71,1201.39,1204.8,1201.38,463.7663417,557897.790275707
2,01/01/2023,1201.33,1202.72,1202.96,1200.21,416.6480157,500710.753884222
1,01/01/2023,1202.72,1200.86,1202.96,1200.37,284.5692779,342043.897877831
0,01/01/2023,1200.87,1200.54,1202.42,1199.31,463.9173292,557015.997303901
23,01/02/2023,1200.36,1198.08,1200.93,1197.43,403.1999404,483327.445656263
22,01/02/2023,1198.07,1195.1,1198.14,1193,887.9699331,1061401.452420375
21,01/02/2023,1195.1,1196.85,1197.47,1194.31,757.5086978,905865.697990473
20,01/02/2023,1196.85,1201.85,1203.69,1196.58,460.2738346,552318.861106746
19,01/02/2023,1201.99,1201.56,1202.73,1199.67,885.5481027,1063311.891839142
18,01/02/2023,1201.55,1202.44,1203.03,1200.14,285.5369731,343148.803648054
17,01/02/2023,1202.46,1201.36,1203.82,1200.54,506.4320185,608842.449793814
16,01/02/2023,1201.36,1212.98,1218.5,1201.35,2381.1642553,2887955.119273398
15,01/02/2023,1213.16,1215.78,1216.97,1211.98,1052.6270091,1277838.360601578
14,01/02/2023,1215.78,1217.05,1219.19,1215.55,914.4285218,1113330.89302235
